  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-28 23:15:51,257 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.0569, 'grad_norm': 0.38566526770591736, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.03}
{'loss': 0.0569, 'grad_norm': 0.47933229804039, 'learning_rate': 3.2200000000000005e-06, 'epoch': 0.03}
{'loss': 0.0559, 'grad_norm': 0.6691396832466125, 'learning_rate': 3.2400000000000003e-06, 'epoch': 0.03}
{'loss': 0.0549, 'grad_norm': 0.3014400005340576, 'learning_rate': 3.2600000000000006e-06, 'epoch': 0.03}
{'loss': 0.0571, 'grad_norm': 0.6827244758605957, 'learning_rate': 3.2800000000000004e-06, 'epoch': 0.03}
{'loss': 0.0554, 'grad_norm': 0.235136017203331, 'learning_rate': 3.3000000000000006e-06, 'epoch': 0.03}
{'loss': 0.0566, 'grad_norm': 0.7446122765541077, 'learning_rate': 3.3200000000000004e-06, 'epoch': 0.03}
{'loss': 0.0565, 'grad_norm': 0.25354862213134766, 'learning_rate': 3.3400000000000006e-06, 'epoch': 0.03}
{'loss': 0.0538, 'grad_norm': 0.7376318573951721, 'learning_rate': 3.3600000000000004e-06, 'epoch': 0.03}
{'loss': 0.0554, 'grad_norm': 0.3599739968776703, 'learning_rate': 3.3800000000000007e-06, 'epoch': 0.03}
{'loss': 0.0562, 'grad_norm': 0.5921746492385864, 'learning_rate': 3.4000000000000005e-06, 'epoch': 0.03}
{'loss': 0.0556, 'grad_norm': 0.35644209384918213, 'learning_rate': 3.4200000000000007e-06, 'epoch': 0.03}
{'loss': 0.0556, 'grad_norm': 0.8126448392868042, 'learning_rate': 3.44e-06, 'epoch': 0.03}
{'loss': 0.0526, 'grad_norm': 0.555367112159729, 'learning_rate': 3.46e-06, 'epoch': 0.03}
{'loss': 0.0548, 'grad_norm': 0.8601247668266296, 'learning_rate': 3.48e-06, 'epoch': 0.04}
{'loss': 0.0563, 'grad_norm': 1.1159147024154663, 'learning_rate': 3.5e-06, 'epoch': 0.04}
{'loss': 0.0542, 'grad_norm': 0.3867429792881012, 'learning_rate': 3.52e-06, 'epoch': 0.04}
{'loss': 0.0561, 'grad_norm': 0.6828039884567261, 'learning_rate': 3.54e-06, 'epoch': 0.04}
{'loss': 0.055, 'grad_norm': 0.5004865527153015, 'learning_rate': 3.5600000000000002e-06, 'epoch': 0.04}
{'loss': 0.0591, 'grad_norm': 0.7140111923217773, 'learning_rate': 3.58e-06, 'epoch': 0.04}
{'loss': 0.0564, 'grad_norm': 0.565212070941925, 'learning_rate': 3.6000000000000003e-06, 'epoch': 0.04}
{'loss': 0.0548, 'grad_norm': 0.7790228128433228, 'learning_rate': 3.62e-06, 'epoch': 0.04}
{'loss': 0.0558, 'grad_norm': 0.25962546467781067, 'learning_rate': 3.6400000000000003e-06, 'epoch': 0.04}
{'loss': 0.0552, 'grad_norm': 0.8207527995109558, 'learning_rate': 3.66e-06, 'epoch': 0.04}
{'loss': 0.0534, 'grad_norm': 0.40416473150253296, 'learning_rate': 3.6800000000000003e-06, 'epoch': 0.04}
{'loss': 0.0551, 'grad_norm': 0.6932219862937927, 'learning_rate': 3.7e-06, 'epoch': 0.04}
{'loss': 0.0553, 'grad_norm': 0.6770106554031372, 'learning_rate': 3.7200000000000004e-06, 'epoch': 0.04}
{'loss': 0.0552, 'grad_norm': 0.727950930595398, 'learning_rate': 3.74e-06, 'epoch': 0.04}
{'loss': 0.055, 'grad_norm': 0.7210240960121155, 'learning_rate': 3.7600000000000004e-06, 'epoch': 0.04}
{'loss': 0.0542, 'grad_norm': 0.27352914214134216, 'learning_rate': 3.7800000000000002e-06, 'epoch': 0.04}
{'loss': 0.0552, 'grad_norm': 0.2740565538406372, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.04}
{'loss': 0.0541, 'grad_norm': 0.27704334259033203, 'learning_rate': 3.820000000000001e-06, 'epoch': 0.04}
{'loss': 0.0547, 'grad_norm': 0.8140485882759094, 'learning_rate': 3.8400000000000005e-06, 'epoch': 0.04}
{'loss': 0.0565, 'grad_norm': 1.3345472812652588, 'learning_rate': 3.86e-06, 'epoch': 0.04}
{'loss': 0.0543, 'grad_norm': 0.4885323643684387, 'learning_rate': 3.88e-06, 'epoch': 0.04}
{'loss': 0.0534, 'grad_norm': 0.9889678955078125, 'learning_rate': 3.900000000000001e-06, 'epoch': 0.04}
{'loss': 0.0551, 'grad_norm': 0.3290020823478699, 'learning_rate': 3.920000000000001e-06, 'epoch': 0.04}
{'loss': 0.0554, 'grad_norm': 1.0365890264511108, 'learning_rate': 3.94e-06, 'epoch': 0.04}
{'loss': 0.0517, 'grad_norm': 0.5273141860961914, 'learning_rate': 3.96e-06, 'epoch': 0.04}
{'loss': 0.056, 'grad_norm': 0.9073494076728821, 'learning_rate': 3.980000000000001e-06, 'epoch': 0.04}
{'loss': 0.0539, 'grad_norm': 0.4347681999206543, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.04}
{'loss': 0.0543, 'grad_norm': 0.626166045665741, 'learning_rate': 4.0200000000000005e-06, 'epoch': 0.04}
{'loss': 0.0543, 'grad_norm': 0.7015671133995056, 'learning_rate': 4.04e-06, 'epoch': 0.04}
{'loss': 0.0528, 'grad_norm': 1.098220944404602, 'learning_rate': 4.060000000000001e-06, 'epoch': 0.04}
{'loss': 0.0539, 'grad_norm': 0.7049062252044678, 'learning_rate': 4.08e-06, 'epoch': 0.04}
{'loss': 0.0533, 'grad_norm': 1.0784186124801636, 'learning_rate': 4.1e-06, 'epoch': 0.04}
{'loss': 0.0565, 'grad_norm': 0.7851988077163696, 'learning_rate': 4.12e-06, 'epoch': 0.04}
{'loss': 0.0528, 'grad_norm': 1.451967716217041, 'learning_rate': 4.14e-06, 'epoch': 0.04}
{'loss': 0.0528, 'grad_norm': 1.0865731239318848, 'learning_rate': 4.16e-06, 'epoch': 0.04}
{'loss': 0.0548, 'grad_norm': 0.9749208092689514, 'learning_rate': 4.18e-06, 'epoch': 0.04}
{'loss': 0.0543, 'grad_norm': 1.326326847076416, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.04}
{'loss': 0.0538, 'grad_norm': 0.646831750869751, 'learning_rate': 4.22e-06, 'epoch': 0.04}
{'loss': 0.0554, 'grad_norm': 1.3876700401306152, 'learning_rate': 4.24e-06, 'epoch': 0.04}
{'loss': 0.0517, 'grad_norm': 0.4209132194519043, 'learning_rate': 4.26e-06, 'epoch': 0.04}
{'loss': 0.0515, 'grad_norm': 0.9622036218643188, 'learning_rate': 4.2800000000000005e-06, 'epoch': 0.04}
{'loss': 0.0549, 'grad_norm': 0.39211392402648926, 'learning_rate': 4.3e-06, 'epoch': 0.04}
{'loss': 0.0563, 'grad_norm': 1.4147286415100098, 'learning_rate': 4.32e-06, 'epoch': 0.04}
{'loss': 0.0558, 'grad_norm': 0.5541980862617493, 'learning_rate': 4.34e-06, 'epoch': 0.04}
{'loss': 0.0546, 'grad_norm': 1.0444111824035645, 'learning_rate': 4.360000000000001e-06, 'epoch': 0.04}
{'loss': 0.0541, 'grad_norm': 0.5128424763679504, 'learning_rate': 4.38e-06, 'epoch': 0.04}
{'loss': 0.0525, 'grad_norm': 0.6303390860557556, 'learning_rate': 4.4e-06, 'epoch': 0.04}
{'loss': 0.0525, 'grad_norm': 0.664588987827301, 'learning_rate': 4.42e-06, 'epoch': 0.04}
{'loss': 0.0559, 'grad_norm': 0.47738125920295715, 'learning_rate': 4.440000000000001e-06, 'epoch': 0.04}
{'loss': 0.0537, 'grad_norm': 1.0598211288452148, 'learning_rate': 4.4600000000000005e-06, 'epoch': 0.04}
{'loss': 0.0543, 'grad_norm': 0.8619048595428467, 'learning_rate': 4.48e-06, 'epoch': 0.04}
{'loss': 0.055, 'grad_norm': 1.4943312406539917, 'learning_rate': 4.5e-06, 'epoch': 0.05}
